[15687199, 369121]
Loading pretrained model:models/backbones/pretrained/3x3resnet50-imagenet.pth


Nbr of trainable parameters: 50246080

Epoch 1 completed | Ls 0.1988 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1100 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1976 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1100 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1966 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1110 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1956 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1110 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1945 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1120 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1934 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1130 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1923 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1140 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1912 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1150 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1903 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1160 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1893 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1160 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1884 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1170 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1875 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1180 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1865 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1180 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1855 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1190 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1845 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1200 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1835 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1210 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1827 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1220 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1818 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1220 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1810 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1230 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1801 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1230 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1793 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1240 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1784 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1250 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1774 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1260 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1766 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.1270 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1758 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1270 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1750 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1280 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1742 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1290 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1734 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1290 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1727 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1300 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1718 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1300 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1710 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1310 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1702 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1320 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1695 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1330 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1688 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1330 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1681 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1340 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1674 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1350 IoU_ul 0.0000
